full_name,stars,forks,language,created_at,default_branch,bucket_label,html_url
Significant-Gravitas/AutoGPT,180894,46253,Python,2023-03-16T09:21:07Z,master,10001+,https://github.com/Significant-Gravitas/AutoGPT
langflow-ai/langflow,142928,8253,Python,2023-02-08T22:28:03Z,main,10001+,https://github.com/langflow-ai/langflow
langgenius/dify,124953,19422,Python,2023-04-12T07:40:24Z,main,10001+,https://github.com/langgenius/dify
deepseek-ai/DeepSeek-V3,100994,16454,Python,2024-12-26T09:52:40Z,main,10001+,https://github.com/deepseek-ai/DeepSeek-V3
comfyanonymous/ComfyUI,99252,11269,Python,2023-01-17T03:15:56Z,master,10001+,https://github.com/comfyanonymous/ComfyUI
microsoft/markitdown,85008,4901,Python,2024-11-13T19:56:40Z,main,10001+,https://github.com/microsoft/markitdown
hacksider/Deep-Live-Cam,76822,11244,Python,2023-09-24T13:19:31Z,main,10001+,https://github.com/hacksider/Deep-Live-Cam
browser-use/browser-use,74726,8925,Python,2024-10-31T16:00:56Z,main,10001+,https://github.com/browser-use/browser-use
abi/screenshot-to-code,71330,8812,Python,2023-11-14T17:53:32Z,main,10001+,https://github.com/abi/screenshot-to-code
infiniflow/ragflow,71012,7756,Python,2023-12-12T06:13:13Z,main,10001+,https://github.com/infiniflow/ragflow
binary-husky/gpt_academic,69929,8399,Python,2023-03-20T09:05:13Z,master,10001+,https://github.com/binary-husky/gpt_academic
vllm-project/vllm,66971,12421,Python,2023-02-09T11:23:20Z,main,10001+,https://github.com/vllm-project/vllm
OpenHands/OpenHands,66299,8202,Python,2024-03-13T03:33:31Z,main,10001+,https://github.com/OpenHands/OpenHands
hiyouga/LlamaFactory,65039,7896,Python,2023-05-28T10:09:12Z,main,10001+,https://github.com/hiyouga/LlamaFactory
FoundationAgents/MetaGPT,62544,7839,Python,2023-06-30T09:04:55Z,main,10001+,https://github.com/FoundationAgents/MetaGPT
openinterpreter/open-interpreter,61474,5270,Python,2023-07-14T07:10:44Z,main,10001+,https://github.com/openinterpreter/open-interpreter
github/spec-kit,60434,5256,Python,2025-08-21T22:54:31Z,main,10001+,https://github.com/github/spec-kit
meta-llama/llama,59024,9810,Python,2023-02-14T09:29:12Z,main,10001+,https://github.com/meta-llama/llama
zylon-ai/private-gpt,57017,7596,Python,2023-05-02T09:15:31Z,main,10001+,https://github.com/zylon-ai/private-gpt
AntonOsika/gpt-engineer,55165,7345,Python,2023-04-29T12:52:15Z,main,10001+,https://github.com/AntonOsika/gpt-engineer
RVC-Boss/GPT-SoVITS,53847,5899,Python,2024-01-14T18:05:21Z,main,10001+,https://github.com/RVC-Boss/GPT-SoVITS
opendatalab/MinerU,51639,4296,Python,2024-02-29T08:52:34Z,master,10001+,https://github.com/opendatalab/MinerU
xai-org/grok-1,50574,8368,Python,2024-03-17T08:53:38Z,main,10001+,https://github.com/xai-org/grok-1
unslothai/unsloth,50419,4166,Python,2023-11-29T16:50:09Z,main,10001+,https://github.com/unslothai/unsloth
Zie619/n8n-workflows,49284,5865,Python,2025-05-14T08:43:59Z,main,10001+,https://github.com/Zie619/n8n-workflows
docling-project/docling,49215,3422,Python,2024-07-09T07:50:26Z,main,10001+,https://github.com/docling-project/docling
harry0703/MoneyPrinterTurbo,48778,6899,Python,2024-03-11T02:57:34Z,main,10001+,https://github.com/harry0703/MoneyPrinterTurbo
lllyasviel/Fooocus,47442,7733,Python,2023-08-09T18:43:40Z,main,10001+,https://github.com/lllyasviel/Fooocus
mem0ai/mem0,45063,4913,Python,2023-06-20T08:58:36Z,main,10001+,https://github.com/mem0ai/mem0
virattt/ai-hedge-fund,44932,7885,Python,2024-11-29T16:30:01Z,main,10001+,https://github.com/virattt/ai-hedge-fund
sansan0/TrendRadar,42449,21306,Python,2025-04-28T11:42:16Z,master,10001+,https://github.com/sansan0/TrendRadar
crewAIInc/crewAI,42319,5670,Python,2023-10-27T03:26:59Z,main,10001+,https://github.com/crewAIInc/crewAI
zai-org/ChatGLM-6B,41220,5223,Python,2023-03-13T12:00:18Z,main,10001+,https://github.com/zai-org/ChatGLM-6B
karpathy/nanochat,39814,5087,Python,2025-10-13T13:46:35Z,master,10001+,https://github.com/karpathy/nanochat
exo-explore/exo,39562,2678,Python,2024-06-24T18:36:22Z,main,10001+,https://github.com/exo-explore/exo
lm-sys/FastChat,39348,4779,Python,2023-03-19T00:18:02Z,main,10001+,https://github.com/lm-sys/FastChat
QuivrHQ/quivr,38771,3705,Python,2023-05-12T23:53:30Z,main,10001+,https://github.com/QuivrHQ/quivr
chatchat-space/Langchain-Chatchat,36998,6108,Python,2023-03-31T12:12:45Z,master,10001+,https://github.com/chatchat-space/Langchain-Chatchat
jingyaogong/minimind,36695,4344,Python,2024-07-27T04:34:12Z,master,10001+,https://github.com/jingyaogong/minimind
XingangPan/DragGAN,35995,3446,Python,2023-05-18T10:08:02Z,main,10001+,https://github.com/XingangPan/DragGAN
myshell-ai/OpenVoice,35756,3985,Python,2023-11-29T12:17:01Z,main,10001+,https://github.com/myshell-ai/OpenVoice
anthropics/skills,34519,3117,Python,2025-09-22T15:53:31Z,main,10001+,https://github.com/anthropics/skills
chenfei-wu/TaskMatrix,34306,3262,Python,2023-03-02T09:04:28Z,main,10001+,https://github.com/chenfei-wu/TaskMatrix
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,33794,4808,Python,2023-03-27T09:59:10Z,main,10001+,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI
Pythagora-io/gpt-pilot,33719,3494,Python,2023-08-16T11:56:07Z,main,10001+,https://github.com/Pythagora-io/gpt-pilot
