full_name,html_url,stars,forks,created_at,language,default_branch
xingyizhou/CenterNet,https://github.com/xingyizhou/CenterNet,7533,1938,2019-04-16T18:39:13Z,Python,master
huggingface/sentence-transformers,https://github.com/huggingface/sentence-transformers,18068,2725,2019-07-24T10:53:51Z,Python,main
sfyc23/EverydayWechat,https://github.com/sfyc23/EverydayWechat,10268,2312,2019-03-11T17:38:45Z,Python,master
reactive-python/reactpy,https://github.com/reactive-python/reactpy,8149,332,2019-02-19T05:25:54Z,Python,main
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,33904,7880,2019-09-05T21:30:20Z,Python,main
facebookresearch/pifuhd,https://github.com/facebookresearch/pifuhd,9761,1482,2019-09-04T19:28:03Z,Python,main
9001/copyparty,https://github.com/9001/copyparty,40189,1655,2019-05-26T15:28:33Z,Python,hovudstraum
simple-login/app,https://github.com/simple-login/app,6315,552,2019-12-18T16:14:58Z,Python,master
ymcui/Chinese-BERT-wwm,https://github.com/ymcui/Chinese-BERT-wwm,10161,1394,2019-06-19T22:55:01Z,Python,master
autogluon/autogluon,https://github.com/autogluon/autogluon,9746,1102,2019-07-29T18:51:24Z,Python,master
Project-MONAI/MONAI,https://github.com/Project-MONAI/MONAI,7705,1391,2019-10-11T16:41:38Z,Python,dev
TheKingOfDuck/fuzzDicts,https://github.com/TheKingOfDuck/fuzzDicts,8203,2481,2019-05-18T04:21:48Z,Python,master
KevinMusgrave/pytorch-metric-learning,https://github.com/KevinMusgrave/pytorch-metric-learning,6290,665,2019-10-23T17:20:35Z,Python,master
Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,54899,10575,2019-11-19T17:24:16Z,Python,master
Morizeyao/GPT2-Chinese,https://github.com/Morizeyao/GPT2-Chinese,7608,1699,2019-05-31T02:07:50Z,Python,old_gpt_2_chinese_before_2021_4_22
PaddlePaddle/PaddleSeg,https://github.com/PaddlePaddle/PaddleSeg,9265,1707,2019-08-26T02:32:22Z,Python,release/2.10
firmai/financial-machine-learning,https://github.com/firmai/financial-machine-learning,8342,1387,2019-03-21T21:00:35Z,Python,master
wbt5/real-url,https://github.com/wbt5/real-url,7770,1568,2019-09-18T17:26:42Z,Python,master
lukemelas/EfficientNet-PyTorch,https://github.com/lukemelas/EfficientNet-PyTorch,8212,1540,2019-05-30T05:24:11Z,Python,master
ddbourgin/numpy-ml,https://github.com/ddbourgin/numpy-ml,16220,3789,2019-04-06T22:29:49Z,Python,master
